AnimalType,IntakeMonth,Breed,Age,Sex,SpayNeuter,Size,Color,IntakeType,Class
CAT,April,,Older than 1 year,FEMALE,true,MED,TORTIE,Stray,Home
CAT,March,,,MALE,false,LARGE,WHITE,Stray,Euthanized
DOG,September,,Older than 1 year,FEMALE,true,TOY,BLACK,Impound,Other
CAT,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,WHITE,Owner Surrender,Euthanized
DOG,May,,Older than 1 year,MALE,true,SMALL,WHITE,Owner Surrender,Home
DOG,August,PIT BULL - MIX,,FEMALE,false,LARGE,BROWN,Stray,Euthanized
DOG,April,AUST SHEPHERD - MIX,Older than 1 year,FEMALE,true,MED,BLACK,Out Patient Spay or Neuter,Other
CAT,September,,,UNKNOWN,false,KITTN,ORG TABBY,Owner Surrender,Other
DOG,February,RAT TERRIER - JACK RUSS TER,,FEMALE,false,SMALL,WHITE,Stray,Euthanized
DOG,January,AMER BULLDOG - CANE CORSO,Older than 1 year,MALE,true,LARGE,TAN,Disposal Request by Public,Other
CAT,December,,,FEMALE,false,MED,BLACK,Stray,Euthanized
CAT,May,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLK TABBY,Stray,Other
CAT,June,,,MALE,false,KITTN,BLACK,Stray,Euthanized
CAT,April,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY,Owner Surrender,Euthanized
CAT,July,,Infant - Younger than 6 months,MALE,true,SMALL,BLACK,Owner Surrender,Home
CAT,April,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,WHITE,Stray,Other
CAT,June,,Youth - Younger than 1 year,MALE,true,MED,BLACK,Stray,Other
CAT,May,,,FEMALE,false,SMALL,BLACK,Stray,Euthanized
DOG,June,,,FEMALE,false,MED,BR BRINDLE,Owner Surrender,Euthanized
DOG,September,LABRADOR RETR - PIT BULL,,MALE,false,MED,RED,Owner Surrender,Other
DOG,June,AUST CATTLE DOG - MIX,Older than 1 year,FEMALE,true,MED,BROWN,Owner Surrender,Other
CAT,April,,,MALE,false,MED,GRAY TABBY,Stray,Euthanized
DOG,June,PIT BULL - MIX,,FEMALE,false,MED,BROWN,Stray,Euthanized
DOG,March,,Older than 7 years,FEMALE,true,LARGE,CHOCOLATE,Owner Surrender,Euthanized
CAT,November,,,MALE,true,MED,WHITE,Stray,Euthanized
CAT,March,,Infant - Younger than 6 months,FEMALE,true,KITTN,TORTIE,Stray,Other
DOG,January,PIT BULL - CANE CORSO,Older than 1 year,MALE,true,LARGE,FAWN,Stray,Other
CAT,April,,,MALE,false,LARGE,GRAY TABBY,Stray,Euthanized
CAT,July,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY,Stray,Other
CAT,December,,Infant - Younger than 6 months,FEMALE,true,MED,BLACK,Stray,Other
DOG,June,,Older than 1 year,FEMALE,false,MED,BLACK,Owner Surrender,Euthanized
DOG,April,,,FEMALE,true,MED,BROWN,Stray,Home
DOG,February,ANATOL SHEPHERD - MIX,Infant - Younger than 6 months,MALE,true,PUPPY,YELLOW,Stray,Home
DOG,February,,Older than 7 years,MALE,false,LARGE,BLACK,Owner Surrender,Euthanized
DOG,June,,Older than 7 years,FEMALE,true,X-LRG,BLACK,Owner Surrender,Euthanized
CAT,December,,,MALE,false,X-LRG,BRN TABBY,Stray,Euthanized
DOG,December,CAIRN TERRIER - MIX,Older than 1 year,FEMALE,true,SMALL,TAN,Stray,Home
CAT,April,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY TABBY,Foster Return,Other
DOG,August,PIT BULL - MIX,Older than 1 year,FEMALE,false,SMALL,WHITE,Owner Surrender,Euthanized
DOG,May,,Older than 1 year,FEMALE,true,MED,TRICOLOR,Owner Surrender,Home
CAT,May,,,MALE,true,LARGE,GRAY,Stray,Euthanized
CAT,June,,Infant - Younger than 6 months,FEMALE,false,KITTN,GRAY TABBY,Stray,Other
DOG,July,,Older than 7 years,MALE,true,LARGE,BLACK,Owner Surrender,Euthanized
DOG,May,,Older than 1 year,MALE,true,LARGE,TRICOLOR,Stray,Home
DOG,August,,Older than 1 year,MALE,true,SMALL,BLACK,Owner Surrender,Other
DOG,March,,Older than 1 year,FEMALE,true,MED,WHITE,Owner Surrender,Other
